update,env_steps,train_return_mean,train_return_std,policy_loss,entropy,entropy_beta,value_loss,baseline_value,eval_return_mean,eval_return_std,experiment,seed,steps_to_475,steps_to_495
49,15578,48.8,23.802520874898946,-0.0119522474706172,0.6626090407371521,0.0,0.0,,,,vpg,0,58202.0,58202.0
50,15875,29.7,13.446560898608984,-0.0002313005388714,0.6512374877929688,0.0,0.0,,99.7,39.125567088541985,vpg,0,58202.0,58202.0
51,16284,40.9,10.094057657849987,-0.00851487275213,0.6582781672477722,0.0,0.0,,,,vpg,0,58202.0,58202.0
52,16702,41.8,20.946598769251295,-0.0189646128565073,0.6604465246200562,0.0,0.0,,,,vpg,0,58202.0,58202.0
53,17002,30.0,15.479018056711478,-0.0119622899219393,0.6478222012519836,0.0,0.0,,,,vpg,0,58202.0,58202.0
54,17421,41.9,23.054066886343502,-0.0242845099419355,0.6560697555541992,0.0,0.0,,,,vpg,0,58202.0,58202.0
55,17958,53.7,18.47187050625897,-0.0073385499417781,0.6570888161659241,0.0,0.0,,109.1,56.13100747358808,vpg,0,58202.0,58202.0
56,18426,46.8,21.692394980729997,-0.007668568752706,0.6500683426856995,0.0,0.0,,,,vpg,0,58202.0,58202.0
57,18936,51.0,28.231188426986208,-0.0063049206510186,0.6527134776115417,0.0,0.0,,,,vpg,0,58202.0,58202.0
58,19331,39.5,15.926393188666417,-0.0242217723280191,0.6545804738998413,0.0,0.0,,,,vpg,0,58202.0,58202.0
59,19743,41.2,13.991425945914164,-0.0186848863959312,0.6527885794639587,0.0,0.0,,,,vpg,0,58202.0,58202.0
60,20210,46.7,32.62529693351464,-0.010190992616117,0.6427431702613831,0.0,0.0,,139.7,67.91325349296704,vpg,0,58202.0,58202.0
61,20620,41.0,17.933209417167916,0.0037347513716667,0.6469730734825134,0.0,0.0,,,,vpg,0,58202.0,58202.0
62,21087,46.7,22.94362656599867,-0.0103688342496752,0.6460904479026794,0.0,0.0,,,,vpg,0,58202.0,58202.0
63,21560,47.3,27.68772291106656,-0.0188828967511653,0.6385277509689331,0.0,0.0,,,,vpg,0,58202.0,58202.0
64,21942,38.2,12.319090875547596,-0.0116354906931519,0.6475054621696472,0.0,0.0,,,,vpg,0,58202.0,58202.0
65,22439,49.7,28.432551767296584,-0.0452766716480255,0.6323785781860352,0.0,0.0,,173.1,59.75190373536227,vpg,0,58202.0,58202.0
66,23057,61.8,30.93153730418196,-0.0194733627140522,0.6503230929374695,0.0,0.0,,,,vpg,0,58202.0,58202.0
67,23576,51.9,24.513057744802055,-0.0125008951872587,0.6439012289047241,0.0,0.0,,,,vpg,0,58202.0,58202.0
68,24142,56.6,43.51827202451862,-0.0144097944721579,0.6354175806045532,0.0,0.0,,,,vpg,0,58202.0,58202.0
